retn_code,fdgrp_cd,retn_desc,nutr_no,nutr_desc,retn_factor
2153,01,"MILK,HEATED APPROX 1 HOUR",401,"Vitamin C, total ascorbic acid",0.45
2153,01,"MILK,HEATED APPROX 1 HOUR",404,Thiamin,0.6
2153,01,"MILK,HEATED APPROX 1 HOUR",405,Riboflavin,1.0
2153,01,"MILK,HEATED APPROX 1 HOUR",406,Niacin,1.0
2153,01,"MILK,HEATED APPROX 1 HOUR",415,Vitamin B-6,0.55
2153,01,"MILK,HEATED APPROX 1 HOUR",417,"Folate, total",0.7
2153,01,"MILK,HEATED APPROX 1 HOUR",431,Folic acid,0.7
2153,01,"MILK,HEATED APPROX 1 HOUR",432,"Folate, food",0.7
2153,01,"MILK,HEATED APPROX 1 HOUR",421,"Choline, total",0.6
2153,01,"MILK,HEATED APPROX 1 HOUR",418,Vitamin B-12,0.3
2153,01,"MILK,HEATED APPROX 1 HOUR",318,"Vitamin A, IU",1.0
2153,01,"MILK,HEATED APPROX 1 HOUR",392,"Vitamin A, RE",1.0
2153,01,"MILK,HEATED APPROX 1 HOUR",221,"Alcohol, ethyl",1.0
2153,01,"MILK,HEATED APPROX 1 HOUR",321,"Carotene, beta",1.0
2153,01,"MILK,HEATED APPROX 1 HOUR",322,"Carotene, alpha",1.0
2153,01,"MILK,HEATED APPROX 1 HOUR",334,"Cryptoxanthin, beta",1.0
2153,01,"MILK,HEATED APPROX 1 HOUR",337,Lycopene,1.0
2153,01,"MILK,HEATED APPROX 1 HOUR",338,Lutein + zeaxanthin,1.0
2151,01,"MILK,HEATED APPROX 10MIN",301,"Calcium, Ca",1.0
2151,01,"MILK,HEATED APPROX 10MIN",303,"Iron, Fe",1.0
2151,01,"MILK,HEATED APPROX 10MIN",304,"Magnesium, Mg",1.0
2151,01,"MILK,HEATED APPROX 10MIN",305,"Phosphorus, P",1.0
2151,01,"MILK,HEATED APPROX 10MIN",306,"Potassium, K",1.0
2151,01,"MILK,HEATED APPROX 10MIN",307,"Sodium, Na",1.0
2151,01,"MILK,HEATED APPROX 10MIN",309,"Zinc, Zn",1.0
2151,01,"MILK,HEATED APPROX 10MIN",312,"Copper, Cu",1.0
2151,01,"MILK,HEATED APPROX 10MIN",401,"Vitamin C, total ascorbic acid",0.85
2151,01,"MILK,HEATED APPROX 10MIN",404,Thiamin,0.9
2151,01,"MILK,HEATED APPROX 10MIN",405,Riboflavin,1.0
2151,01,"MILK,HEATED APPROX 10MIN",406,Niacin,1.0
